datetime,score
2016-01-14 17:00:00,0.0
2016-01-14 17:15:00,0.0
2016-01-14 17:30:00,0.8074
2016-01-14 17:45:00,0.0
2016-01-14 18:00:00,0.0
2016-01-14 18:15:00,0.6124
2016-01-14 18:30:00,-0.1531
2016-01-14 18:45:00,0.0
2016-01-14 19:00:00,-0.7579
2016-01-14 19:15:00,0.6369
2016-01-14 19:30:00,0.0
2016-01-14 19:45:00,0.6124
2016-01-14 20:00:00,0.0
2016-01-14 20:15:00,0.34
2016-01-14 20:30:00,-0.3818
2016-01-14 20:45:00,0.0
2016-01-14 21:00:00,-0.25
2016-01-14 21:15:00,0.1779
2016-01-14 21:30:00,0.25
2016-01-14 21:45:00,0.0
2016-01-15 15:30:00,0.0
2016-01-15 15:45:00,-0.7319
2016-01-15 16:00:00,-0.6124
2016-01-15 16:15:00,-0.6124
2016-01-15 16:30:00,0.0
2016-01-15 16:45:00,0.0
2016-01-15 17:00:00,0.0
2016-01-15 17:15:00,0.0
2016-01-15 17:30:00,0.0
2016-01-15 17:45:00,0.0
2016-01-15 18:00:00,0.0
2016-01-15 18:15:00,0.6124
2016-01-15 18:30:00,-0.7913
2016-01-15 18:45:00,0.0
2016-01-15 19:00:00,0.0
2016-01-15 19:15:00,0.0
2016-01-15 19:30:00,0.0
2016-01-15 19:45:00,0.7034
2016-01-15 20:00:00,0.0
2016-01-15 20:15:00,0.5423
2016-01-15 20:30:00,-0.1381
2016-01-15 20:45:00,0.0
2016-01-15 21:00:00,0.0
2016-01-15 21:15:00,0.0
2016-01-15 21:30:00,-0.128
2016-01-15 21:45:00,0.0
2016-01-18 15:30:00,0.0
2016-01-18 15:45:00,0.0
2016-01-18 16:00:00,0.0
2016-01-18 16:15:00,0.0534
2016-01-18 16:30:00,0.0
2016-01-18 16:45:00,0.6553
2016-01-18 17:00:00,0.4201
2016-01-18 17:15:00,0.0
2016-01-18 17:30:00,0.4199
2016-01-18 17:45:00,0.5106
2016-01-18 18:00:00,0.0
2016-01-18 18:15:00,-0.1027
2016-01-18 18:30:00,-0.296
2016-01-18 18:45:00,0.4767
2016-01-18 19:00:00,0.2023
2016-01-18 19:15:00,0.0
2016-01-18 19:30:00,-0.5106
2016-01-18 19:45:00,0.0
2016-01-18 20:00:00,0.0
2016-01-18 20:15:00,0.0
2016-01-18 20:30:00,0.0
2016-01-18 20:45:00,0.0
2016-01-18 21:00:00,-0.2023
2016-01-18 21:15:00,0.0
2016-01-18 21:30:00,0.0
2016-01-18 21:45:00,0.0
2016-01-19 15:30:00,0.6825
2016-01-19 15:45:00,0.0
2016-01-19 16:00:00,-0.3527
2016-01-19 16:15:00,0.4215
2016-01-19 16:30:00,0.5106
2016-01-19 16:45:00,0.4588
2016-01-19 17:00:00,0.0
2016-01-19 17:15:00,0.4199
2016-01-19 17:30:00,0.0
2016-01-19 17:45:00,0.0
2016-01-19 18:00:00,0.0
2016-01-19 18:15:00,0.0
2016-01-19 18:30:00,0.0
2016-01-19 18:45:00,0.0
2016-01-19 19:00:00,0.0
2016-01-19 19:15:00,0.0
2016-01-19 19:30:00,0.0
2016-01-19 19:45:00,-0.7845
2016-01-19 20:00:00,0.0
2016-01-19 20:15:00,0.5859
2016-01-19 20:30:00,-0.7579
2016-01-19 20:45:00,0.6124
2016-01-19 21:00:00,0.0
2016-01-19 21:15:00,-0.6908
2016-01-19 21:30:00,0.0
2016-01-19 21:45:00,0.0
2016-01-20 15:30:00,0.6124
2016-01-20 15:45:00,0.7351
2016-01-20 16:00:00,0.7955
2016-01-20 16:15:00,0.25
2016-01-20 16:30:00,0.0
2016-01-20 16:45:00,0.0
2016-01-20 17:00:00,0.0
2016-01-20 17:15:00,0.7096
2016-01-20 17:30:00,0.0
2016-01-20 17:45:00,0.4019
2016-01-20 18:00:00,0.0
2016-01-20 18:15:00,0.6124
2016-01-20 18:30:00,0.8316
2016-01-20 18:45:00,0.5106
2016-01-20 19:00:00,0.0
2016-01-20 19:15:00,0.0
2016-01-20 19:30:00,0.0
2016-01-20 19:45:00,-0.8402
2016-01-20 20:00:00,-0.7579
2016-01-20 20:15:00,0.128
2016-01-20 20:30:00,0.0
2016-01-20 20:45:00,0.0
2016-01-20 21:00:00,0.0
2016-01-20 21:15:00,0.6943
2016-01-20 21:30:00,0.5106
2016-01-20 21:45:00,0.0
2016-01-21 15:30:00,0.1779
2016-01-21 15:45:00,0.0
2016-01-21 16:00:00,0.0
2016-01-21 16:15:00,0.0
2016-01-21 16:30:00,0.5106
2016-01-21 16:45:00,0.0
2016-01-21 17:00:00,0.0
2016-01-21 17:15:00,0.4199
2016-01-21 17:30:00,0.1531
2016-01-21 17:45:00,0.0516
2016-01-21 18:00:00,0.0
2016-01-21 18:15:00,0.0
2016-01-21 18:30:00,-0.5106
2016-01-21 18:45:00,0.7845
2016-01-21 19:00:00,-0.5661
2016-01-21 19:15:00,0.7906
2016-01-21 19:30:00,0.0
2016-01-21 19:45:00,0.0
2016-01-21 20:00:00,0.0
2016-01-21 20:15:00,0.3612
2016-01-21 20:30:00,0.1779
2016-01-21 20:45:00,0.6908
2016-01-21 21:00:00,0.0
2016-01-21 21:15:00,0.0
2016-01-21 21:30:00,0.5719
2016-01-21 21:45:00,0.0
2016-01-22 15:30:00,-0.3527
2016-01-22 15:45:00,0.2023
2016-01-22 16:00:00,0.5106
2016-01-22 16:15:00,-0.6016
2016-01-22 16:30:00,0.0
2016-01-22 16:45:00,0.0
2016-01-22 17:00:00,0.0
2016-01-22 17:15:00,0.4199
2016-01-22 17:30:00,0.0
2016-01-22 17:45:00,0.0
2016-01-22 18:00:00,0.34
2016-01-22 18:15:00,0.6124
2016-01-22 18:30:00,-0.5661
2016-01-22 18:45:00,0.0
2016-01-22 19:00:00,0.0
2016-01-22 19:15:00,0.0
2016-01-22 19:30:00,0.0
2016-01-22 19:45:00,-0.4404
2016-01-22 20:00:00,0.2235
2016-01-22 20:15:00,0.3612
2016-01-22 20:30:00,-0.5707
2016-01-22 20:45:00,0.0
2016-01-22 21:00:00,0.0
2016-01-22 21:15:00,0.6486
2016-01-22 21:30:00,0.6369
2016-01-22 21:45:00,0.0
2016-01-25 15:30:00,-0.34
2016-01-25 15:45:00,0.8545
2016-01-25 16:00:00,0.0
2016-01-25 16:15:00,0.0
2016-01-25 16:30:00,-0.296
2016-01-25 16:45:00,0.0
2016-01-25 17:00:00,0.0
2016-01-25 17:15:00,0.0
2016-01-25 17:30:00,0.0
2016-01-25 17:45:00,0.0
2016-01-25 18:00:00,-0.5661
2016-01-25 18:15:00,0.0
2016-01-25 18:30:00,0.5661
2016-01-25 18:45:00,0.0
2016-01-25 19:00:00,0.0
2016-01-25 19:15:00,0.0516
2016-01-25 19:30:00,0.0
2016-01-25 19:45:00,0.1027
2016-01-25 20:00:00,0.0
2016-01-25 20:15:00,0.0
2016-01-25 20:30:00,0.0
2016-01-25 20:45:00,0.0
2016-01-25 21:00:00,0.0
2016-01-25 21:15:00,0.4215
2016-01-25 21:30:00,0.0
2016-01-25 21:45:00,0.0
2016-01-26 15:30:00,0.0
2016-01-26 15:45:00,0.0
2016-01-26 16:00:00,0.0
2016-01-26 16:15:00,0.0
2016-01-26 16:30:00,0.0
2016-01-26 16:45:00,0.0
2016-01-26 17:00:00,0.0
2016-01-26 17:15:00,0.0
2016-01-26 17:30:00,0.0
2016-01-26 17:45:00,0.0
2016-01-26 18:00:00,0.0
2016-01-26 18:15:00,0.0
2016-01-26 18:30:00,0.0
2016-01-26 18:45:00,0.0
2016-01-26 19:00:00,0.0
2016-01-26 19:15:00,0.0
2016-01-26 19:30:00,0.0
2016-01-26 19:45:00,0.0
2016-01-26 20:00:00,0.0
2016-01-26 20:15:00,0.0
2016-01-26 20:30:00,0.0
2016-01-26 20:45:00,0.0
2016-01-26 21:00:00,-0.8567
2016-01-26 21:15:00,-0.296
2016-01-26 21:30:00,0.0
2016-01-26 21:45:00,0.0
2016-01-27 15:30:00,0.0
2016-01-27 15:45:00,0.0
2016-01-27 16:00:00,0.0
2016-01-27 16:15:00,0.0
2016-01-27 16:30:00,-0.4767
2016-01-27 16:45:00,-0.6476
2016-01-27 17:00:00,0.0
2016-01-27 17:15:00,0.6124
2016-01-27 17:30:00,0.0
2016-01-27 17:45:00,0.0
2016-01-27 18:00:00,0.296
2016-01-27 18:15:00,0.0
2016-01-27 18:30:00,0.2235
2016-01-27 18:45:00,-0.9161
2016-01-27 19:00:00,0.0
2016-01-27 19:15:00,0.3182
2016-01-27 19:30:00,0.0
2016-01-27 19:45:00,-0.4404
2016-01-27 20:00:00,0.8765
2016-01-27 20:15:00,0.4215
2016-01-27 20:30:00,0.0
2016-01-27 20:45:00,0.6124
2016-01-27 21:00:00,0.0
2016-01-27 21:15:00,0.0
2016-01-27 21:30:00,0.0
2016-01-27 21:45:00,0.0
2016-01-28 15:30:00,-0.4588
2016-01-28 15:45:00,0.4767
2016-01-28 16:00:00,0.0
2016-01-28 16:15:00,0.0
2016-01-28 16:30:00,-0.4215
2016-01-28 16:45:00,0.296
2016-01-28 17:00:00,0.0
2016-01-28 17:15:00,0.3612
2016-01-28 17:30:00,-0.5661
2016-01-28 17:45:00,-0.8402
2016-01-28 18:00:00,0.0
2016-01-28 18:15:00,0.0
2016-01-28 18:30:00,-0.128
2016-01-28 18:45:00,-0.2263
2016-01-28 19:00:00,0.5661
2016-01-28 19:15:00,0.7906
2016-01-28 19:30:00,0.0
2016-01-28 19:45:00,0.0
2016-01-28 20:00:00,0.0
2016-01-28 20:15:00,0.6124
2016-01-28 20:30:00,0.0
2016-01-28 20:45:00,0.0
2016-01-28 21:00:00,0.0
2016-01-28 21:15:00,0.0
2016-01-28 21:30:00,0.0
2016-01-28 21:45:00,0.0
2016-01-29 15:30:00,0.0
2016-01-29 15:45:00,-0.4215
2016-01-29 16:00:00,-0.4767
2016-01-29 16:15:00,-0.5473
2016-01-29 16:30:00,0.0
2016-01-29 16:45:00,0.128
2016-01-29 17:00:00,0.0
2016-01-29 17:15:00,0.0
2016-01-29 17:30:00,-0.8934
2016-01-29 17:45:00,-0.4767
2016-01-29 18:00:00,0.0
2016-01-29 18:15:00,-0.5267
2016-01-29 18:30:00,0.2235
2016-01-29 18:45:00,0.3818
2016-01-29 19:00:00,0.0
2016-01-29 19:15:00,0.3818
2016-01-29 19:30:00,0.0
2016-01-29 19:45:00,0.0
2016-01-29 20:00:00,0.3818
2016-01-29 20:15:00,0.0
2016-01-29 20:30:00,0.5256
2016-01-29 20:45:00,0.3382
2016-01-29 21:00:00,0.0
2016-01-29 21:15:00,0.2023
2016-01-29 21:30:00,-0.5106
2016-01-29 21:45:00,0.0
2016-02-01 15:30:00,-0.6124
2016-02-01 15:45:00,0.0
2016-02-01 16:00:00,0.0
2016-02-01 16:15:00,0.0
2016-02-01 16:30:00,-0.7269
2016-02-01 16:45:00,0.0
2016-02-01 17:00:00,0.0
2016-02-01 17:15:00,0.2023
2016-02-01 17:30:00,0.4767
2016-02-01 17:45:00,0.5106
2016-02-01 18:00:00,0.0
2016-02-01 18:15:00,0.6124
2016-02-01 18:30:00,-0.4215
2016-02-01 18:45:00,-0.6124
2016-02-01 19:00:00,0.296
2016-02-01 19:15:00,0.3802
