Date,Open,High,Low,Close,Volume,RSI,ATR,EMA_slow,EMA_fast,BBL_15_1.5,BBM_15_1.5,BBU_15_1.5,BBB_15_1.5,BBP_15_1.5,EMASignal,TechnicalSignal,LSTMsignal,TotalSignal,pointpos
2024-05-29 20:10:00+02:00,527.05,527.12,526.82,526.97,1785.28,56.1905356010164,0.36982500155697506,527.4193984138356,526.7704569589232,526.3189253234794,526.714,527.1090746765207,0.1500148758227834,0.8239893812665293,1,0,0,0,0.0
2024-05-29 20:15:00+02:00,526.97,526.99,526.69,526.78,1652.92,50.060067132790984,0.35985000133454353,527.406737059106,526.7710726389927,526.3277565502759,526.7226666666667,527.1175767830574,0.14994992294138867,0.5725903578481324,1,0,0,0,0.0
2024-05-29 20:20:00+02:00,526.77,526.87,526.65,526.83,1452.87,51.60394984206471,0.3398714297153269,527.3953165232822,526.774874404219,526.3300434197084,526.7266666666667,527.123289913625,0.15059926601713342,0.6302663599849817,1,0,0,0,0.0
2024-05-29 20:25:00+02:00,526.85,526.92,526.59,526.59,2231.99,44.29984087960449,0.3384612254702698,527.379369661435,526.7629470233016,526.3439620451935,526.7333333333333,527.1227046214732,0.1478438000784109,0.31594260067547797,1,0,0,0,0.0
2024-05-29 20:30:00+02:00,526.58,526.63,526.25,526.45,1919.8,40.57728230658022,0.3443953361173735,527.3609663018026,526.7427568927661,526.3475671962102,526.7346666666666,527.121766137123,0.14698082163685405,0.13230811665676814,1,0,0,0,0.0
2024-05-29 20:35:00+02:00,526.49,526.57,526.22,526.31,2522.34,37.112199932573354,0.34519600238632336,527.3401550879055,526.7148370932329,526.298996930856,526.7153333333333,527.1316697358106,0.1580878232051952,0.013214156963553682,1,0,0,0,0.0
2024-05-29 20:40:00+02:00,526.3,526.81,526.23,526.58,2829.78,46.83988946437203,0.3787394306168382,527.3251025119073,526.7061379259276,526.2821878478767,526.692,527.1018121521233,0.1556173825018502,0.36335202675217054,1,0,0,0,0.0
2024-05-29 20:45:00+02:00,526.57,526.58,526.05,526.16,4929.96,36.95881174324402,0.40034808338587363,527.3020311750378,526.6709032210291,526.2122886379776,526.6659999999999,527.1197113620223,0.17229567202831325,-0.057623240626583236,1,0,0,0,0.0
2024-05-29 20:50:00+02:00,526.15,526.32,526.06,526.29,2180.1,41.22310117854636,0.3802983571879066,527.2819909537499,526.6463288196725,526.1966318957586,526.66,527.1233681042413,0.17596479863340297,0.10074938627271779,1,0,2,0,520.7994
2024-05-29 20:55:00+02:00,526.29,526.42,526.07,526.17,2302.23,38.548695105875666,0.3759700204467641,527.2599713309033,526.6155979280808,526.1671335588092,526.65,527.1328664411908,0.18337280592075272,0.002968151176270239,1,0,0,0,0.0
2024-05-29 21:00:00+02:00,526.17,526.41,526.15,526.29,1854.53,42.68056005757784,0.35940287466865367,527.2407639778162,526.5945916101401,526.140590711759,526.638,527.135409288241,0.1888998850219649,0.15018747314639108,1,0,0,0,0.0
2024-05-29 21:05:00+02:00,526.28,526.44,526.08,526.19,2337.57,40.17911146639045,0.35948817828741936,527.2199567703346,526.568488925615,526.0902768684047,526.5773333333333,527.0643897982619,0.1849895292094968,0.1023732757658909,1,0,0,0,0.0
2024-05-29 21:10:00+02:00,526.19,526.5,526.01,526.46,2219.07,49.12436352183402,0.37813272424636074,527.2049081214171,526.5614896400915,526.084394817843,526.5406666666667,526.9969385154903,0.17330925328604804,0.4116024066852009,1,0,0,0,0.0
2024-05-29 21:15:00+02:00,526.47,526.56,526.34,526.47,2637.07,49.435520105038066,0.35554233506829686,527.1903554853494,526.5555870826663,526.0887628315926,526.5046666666666,526.9205705017406,0.15798676114577198,0.4583236992027274,1,0,0,0,0.0
2024-05-29 21:20:00+02:00,526.46,526.88,526.43,526.87,2400.88,60.24252630343682,0.3690362872014038,527.1840118123722,526.5758717870104,526.1049704381036,526.494,526.8830295618965,0.14778119480808902,0.9832537637590355,1,0,0,0,0.0
2024-05-29 21:25:00+02:00,526.88,527.19,526.78,526.86,4565.46,59.88698520813544,0.3748882461726435,527.1775957368797,526.5942026394614,526.1160860411215,526.4866666666667,526.8572472922118,0.1407749327789741,1.0037140470905013,1,1,1,1,532.4619
2024-05-29 21:30:00+02:00,526.85,526.89,526.54,526.83,4301.69,58.731572853962675,0.37133278243369766,527.170712652981,526.6094153723994,526.1130649923006,526.49,526.8669350076995,0.14318790772833073,0.951006132430046,1,0,2,0,521.2746
