Open,High,Low,Close,Volume,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,VWAP_D,ATR,BubbleSignal,TotalSignal,pointpos
90.98,91.18,90.76,90.84,46124.2,90.96412917734816,91.35499999999999,91.74587082265182,90.6056831227187,0.2645437178873298,0,0,0.0
90.83,90.84,90.41,90.54,44667.0,90.78476382315193,91.3115,91.83823617684806,90.60550527566046,0.28818032965785023,0,0,0.0
90.54,90.65,90.47,90.57,39565.6,90.65470673426353,91.26650000000001,91.87829326573649,90.604781101643,0.2727259968270925,2,0,0.0
90.58,90.65,90.11,90.28,48853.7,90.4669820109772,91.2105,91.95401798902279,90.5994219108933,0.31090799732800195,0,0,0.0
90.29,90.58,90.2,90.43,35476.5,90.3585307345224,91.176,91.9934692654776,90.59650929436546,0.3207782834345561,0,0,0.0
90.43,90.54,90.28,90.31,22143.7,90.23017858915709,91.12950000000001,92.02882141084292,90.59448979175019,0.31209567150737605,0,0,0.0
90.32,90.6,90.22,90.31,31880.1,90.11691225049377,91.0785,92.04008774950624,90.59164664023352,0.32179628987108594,0,0,0.0
90.32,90.39,89.93,90.15,42293.8,89.98659346559815,91.01500000000001,92.04340653440188,90.58424264131355,0.3415396770456542,0,0,0.0
90.17,90.23,89.72,89.96,37802.7,89.83165584340459,90.9545,92.0773441565954,90.57503760377143,0.3656054374815956,0,0,0.0
89.96,90.15,89.82,90.04,31883.5,89.71344490574732,90.891,92.06855509425269,90.56790175958892,0.3605189464102814,0,0,0.0
90.04,90.41,90.0,90.39,40769.6,89.66797324124332,90.84049999999999,92.01302675875667,90.56316944990733,0.367587668354667,0,0,0.0
90.39,90.41,90.24,90.3,23089.5,89.62294655295523,90.78299999999999,91.94305344704475,90.56099564457965,0.3393608585794544,0,0,0.0
90.28,90.41,90.2,90.3,24965.6,89.5874018252031,90.727,91.8665981747969,90.55856200776776,0.32088073591948785,0,0,0.0
90.35,90.42,90.27,90.39,19834.6,89.57420937503973,90.675,91.77579062496027,90.557083118247,0.2964692022101853,0,0,0.0
90.39,90.53,90.3,90.51,31869.7,89.60645557846637,90.6195,91.63254442153364,90.55577736403235,0.2869736018922715,0,0,0.0
90.51,90.64,90.42,90.62,30292.2,89.66254680737364,90.57050000000001,91.47845319262638,90.55582430042793,0.27740594447721245,0,0,0.0
90.61,90.66,90.45,90.6,27169.1,89.74887752433479,90.51950000000001,91.29012247566523,90.55596422912792,0.2677765238359903,0,0,0.0
90.6,90.6,90.22,90.4,36071.4,89.83261849450281,90.4655,91.0983815054972,90.5540329362676,0.2838084490045878,0,0,0.0
90.41,90.55,90.33,90.5,24801.9,89.94634634064298,90.42150000000001,90.89665365935704,90.5532039417636,0.27469295628852025,0,0,0.0
90.5,90.55,90.32,90.32,17756.1,89.9896232938532,90.388,90.78637670614681,90.55222214949666,0.26830824824662747,0,0,0.0
90.36,90.42,90.13,90.29,21896.5,90.01882910571666,90.3605,90.70217089428334,90.55013282299103,0.2714070699259629,0,0,0.0
90.29,90.48,90.27,90.46,23702.8,90.02152089617356,90.35650000000001,90.69147910382647,90.54892323060321,0.26263463136442966,0,0,0.0
90.47,90.52,90.35,90.36,20615.1,90.0256002496874,90.34599999999999,90.66639975031258,90.54793473681694,0.24940111259720021,0,0,0.0
90.36,90.55,90.36,90.54,25299.6,90.02940024271797,90.359,90.68859975728202,90.54737550314042,0.2409152393685433,0,0,0.0
90.54,90.73,90.54,90.67,49040.0,90.01547784879087,90.37100000000001,90.72652215120915,90.5490140989395,0.23364163374410896,0,0,0.0
90.69,90.69,90.46,90.54,50098.2,90.02078878922491,90.3825,90.74421121077508,90.54925150507638,0.2331214003520721,0,0,0.0
89.5,90.09,89.42,89.73,92856.0,89.89353152281882,90.3535,90.81346847718117,89.74666666666667,0.3598183431634806,2,0,0.0
89.75,90.48,89.54,90.2,91282.7,89.89995614245954,90.356,90.81204385754044,89.90860446319358,0.4427014369998262,0,0,0.0
90.2,90.29,89.86,90.1,47287.3,89.9276564574955,90.36300000000001,90.79834354250453,89.9443068324216,0.44088694599980405,0,0,0.0
90.1,90.89,90.01,90.76,77868.1,89.95741648581453,90.399,90.84058351418547,90.09763577233882,0.5036173822869678,0,0,0.0
90.74,90.96,90.42,90.57,67549.7,89.96022326992085,90.408,90.85577673007916,90.19664771805543,0.5088148991032152,0,0,0.0
90.55,90.89,90.48,90.84,41285.4,89.95273451294915,90.435,90.91726548705086,90.24996831441894,0.4946984849453774,0,0,0.0
90.89,91.0,90.6,90.92,48417.3,89.94433343982925,90.46600000000001,90.98766656017077,90.31120066988679,0.48117012995298825,0,0,0.0
