Local time,Open,High,Low,Close,Volume
28.04.2023 18:25:00.000 GMT+0200,204.926,205.107,204.756,205.066,12.540000000000001
28.04.2023 18:30:00.000 GMT+0200,204.766,205.257,204.756,204.786,15
28.04.2023 18:35:00.000 GMT+0200,205.096,205.306,204.786,205.257,22.5
28.04.2023 18:40:00.000 GMT+0200,205.256,205.547,205.126,205.376,17.67
28.04.2023 18:45:00.000 GMT+0200,205.387,205.707,205.376,205.606,20.73
28.04.2023 18:50:00.000 GMT+0200,205.606,205.837,205.556,205.596,20.520000000000003
28.04.2023 18:55:00.000 GMT+0200,205.597,206.026,205.596,205.926,20.400000000000002
28.04.2023 19:00:00.000 GMT+0200,205.927,205.987,205.696,205.767,12.629999999999999
28.04.2023 19:05:00.000 GMT+0200,205.806,205.837,205.496,205.497,11.52
28.04.2023 19:10:00.000 GMT+0200,205.447,205.637,205.256,205.256,10.290000000000001
28.04.2023 19:15:00.000 GMT+0200,205.257,205.356,205.086,205.217,9.51
28.04.2023 19:20:00.000 GMT+0200,205.236,205.437,205.126,205.356,6.899999999999999
28.04.2023 19:25:00.000 GMT+0200,205.387,205.517,205.337,205.487,10.26
28.04.2023 19:30:00.000 GMT+0200,205.487,205.767,205.396,205.487,11.850000000000001
28.04.2023 19:35:00.000 GMT+0200,205.517,205.607,205.396,205.587,16.05
28.04.2023 19:40:00.000 GMT+0200,205.656,205.667,205.406,205.556,11.490000000000002
28.04.2023 19:45:00.000 GMT+0200,205.557,205.676,205.436,205.537,19.86
28.04.2023 19:50:00.000 GMT+0200,205.547,205.596,205.406,205.577,12.51
28.04.2023 19:55:00.000 GMT+0200,205.507,205.677,205.406,205.616,15.12
28.04.2023 20:00:00.000 GMT+0200,205.616,206.057,205.616,206.037,31.86
28.04.2023 20:05:00.000 GMT+0200,205.987,206.166,205.796,206.146,25.71
28.04.2023 20:10:00.000 GMT+0200,206.147,206.177,205.717,205.976,21.45
28.04.2023 20:15:00.000 GMT+0200,205.976,206.216,205.966,206.177,20.759999999999998
28.04.2023 20:20:00.000 GMT+0200,206.177,206.316,206.106,206.197,20.700000000000003
28.04.2023 20:25:00.000 GMT+0200,206.196,206.227,206.067,206.197,15.24
28.04.2023 20:30:00.000 GMT+0200,206.197,206.267,206.066,206.147,12.54
28.04.2023 20:35:00.000 GMT+0200,206.067,206.067,205.766,205.826,11.34
28.04.2023 20:40:00.000 GMT+0200,205.826,206.137,205.546,205.796,22.14
28.04.2023 20:45:00.000 GMT+0200,205.797,205.847,205.336,205.667,13.68
28.04.2023 20:50:00.000 GMT+0200,205.726,205.897,205.507,205.697,11.579999999999998
28.04.2023 20:55:00.000 GMT+0200,205.706,205.886,205.696,205.736,9.9
28.04.2023 21:00:00.000 GMT+0200,205.517,205.847,205.506,205.647,15.27
28.04.2023 21:05:00.000 GMT+0200,205.646,205.826,205.546,205.806,15.09
28.04.2023 21:10:00.000 GMT+0200,205.806,206.047,205.737,205.936,23.55
28.04.2023 21:15:00.000 GMT+0200,205.997,206.247,205.616,206.187,18.57
28.04.2023 21:20:00.000 GMT+0200,206.187,206.296,205.996,206.106,18.9
28.04.2023 21:25:00.000 GMT+0200,206.107,206.137,205.996,205.997,15.299999999999999
28.04.2023 21:30:00.000 GMT+0200,206.026,206.107,205.506,206.056,29.94
28.04.2023 21:35:00.000 GMT+0200,206.057,206.287,206.056,206.196,27.869999999999997
28.04.2023 21:40:00.000 GMT+0200,206.197,206.557,206.156,206.366,35.43
28.04.2023 21:45:00.000 GMT+0200,206.366,206.527,206.167,206.516,35.58
28.04.2023 21:50:00.000 GMT+0200,206.527,206.817,205.936,206.816,37.95
28.04.2023 21:55:00.000 GMT+0200,206.836,206.927,206.366,206.366,60.21000000000001
01.05.2023 15:30:00.000 GMT+0200,206.267,207.576,206.237,207.146,13.540000000000001
01.05.2023 15:35:00.000 GMT+0200,207.146,207.546,206.607,207.316,23.51
01.05.2023 15:40:00.000 GMT+0200,207.317,208.376,207.317,208.027,30.22
01.05.2023 15:45:00.000 GMT+0200,208.026,208.197,207.356,207.747,18.35
01.05.2023 15:50:00.000 GMT+0200,207.747,207.786,207.197,207.306,16.88
01.05.2023 15:55:00.000 GMT+0200,207.446,207.446,207.046,207.186,17.54
01.05.2023 16:00:00.000 GMT+0200,207.186,207.186,206.776,206.876,21.92
01.05.2023 16:05:00.000 GMT+0200,206.986,207.226,206.556,206.986,16.620000000000005
01.05.2023 16:10:00.000 GMT+0200,206.967,207.267,206.796,207.206,19.97
01.05.2023 16:15:00.000 GMT+0200,207.206,207.786,207.156,207.616,20.32
01.05.2023 16:20:00.000 GMT+0200,207.616,207.616,207.036,207.077,19.25
01.05.2023 16:25:00.000 GMT+0200,207.157,207.157,206.866,206.887,17.2
01.05.2023 16:30:00.000 GMT+0200,206.897,207.427,206.896,207.426,15.900000000000002
01.05.2023 16:35:00.000 GMT+0200,207.427,207.627,207.216,207.507,23.409999999999997
01.05.2023 16:40:00.000 GMT+0200,207.506,207.656,207.096,207.497,24.639999999999997
01.05.2023 16:45:00.000 GMT+0200,207.406,207.747,207.406,207.556,25.45
01.05.2023 16:50:00.000 GMT+0200,207.557,207.557,206.796,206.806,28.630000000000003
01.05.2023 16:55:00.000 GMT+0200,206.806,207.107,206.686,207.087,25.16
01.05.2023 17:00:00.000 GMT+0200,207.086,207.296,206.696,206.697,28.799999999999997
01.05.2023 17:05:00.000 GMT+0200,206.696,206.846,206.596,206.826,21.25
01.05.2023 17:10:00.000 GMT+0200,206.756,206.937,206.596,206.626,14.35
01.05.2023 17:15:00.000 GMT+0200,206.626,206.637,205.996,206.437,28.55
01.05.2023 17:20:00.000 GMT+0200,206.437,206.827,206.327,206.407,16.66
01.05.2023 17:25:00.000 GMT+0200,206.407,206.666,206.196,206.606,23.39
01.05.2023 17:30:00.000 GMT+0200,206.606,206.867,206.576,206.866,20.310000000000002
01.05.2023 17:35:00.000 GMT+0200,206.866,206.936,206.686,206.706,24.24
01.05.2023 17:40:00.000 GMT+0200,206.706,206.706,206.396,206.476,18.42
01.05.2023 17:45:00.000 GMT+0200,206.466,206.677,206.396,206.397,19.21
01.05.2023 17:50:00.000 GMT+0200,206.397,206.427,206.106,206.277,21.77
01.05.2023 17:55:00.000 GMT+0200,206.227,206.547,206.166,206.486,13.01
01.05.2023 18:00:00.000 GMT+0200,206.486,206.657,206.417,206.597,22.03
01.05.2023 18:05:00.000 GMT+0200,206.606,206.807,206.596,206.596,17.3
01.05.2023 18:10:00.000 GMT+0200,206.597,206.757,206.266,206.407,14.14
01.05.2023 18:15:00.000 GMT+0200,206.417,206.507,206.266,206.507,14.14
01.05.2023 18:20:00.000 GMT+0200,206.506,206.577,206.426,206.547,12.1
01.05.2023 18:25:00.000 GMT+0200,206.546,206.715,206.426,206.676,12.68
01.05.2023 18:30:00.000 GMT+0200,206.677,206.957,206.677,206.767,29.339999999999996
01.05.2023 18:35:00.000 GMT+0200,206.767,206.977,206.686,206.866,18.82
01.05.2023 18:40:00.000 GMT+0200,206.837,206.977,206.636,206.696,17.8
01.05.2023 18:45:00.000 GMT+0200,206.697,206.747,206.346,206.437,14.82
01.05.2023 18:50:00.000 GMT+0200,206.516,206.577,206.316,206.396,16.97
01.05.2023 18:55:00.000 GMT+0200,206.397,206.716,206.387,206.587,22.17
01.05.2023 19:00:00.000 GMT+0200,206.587,206.797,206.476,206.496,23.589999999999996
01.05.2023 19:05:00.000 GMT+0200,206.527,206.767,206.476,206.476,22.25
01.05.2023 19:10:00.000 GMT+0200,206.477,206.567,206.326,206.396,12.73
01.05.2023 19:15:00.000 GMT+0200,206.327,206.516,206.096,206.166,18.380000000000003
01.05.2023 19:20:00.000 GMT+0200,206.147,206.197,206.006,206.046,23.52
01.05.2023 19:25:00.000 GMT+0200,206.116,206.116,204.986,204.987,35.83
01.05.2023 19:30:00.000 GMT+0200,204.987,205.176,204.746,205.037,39
01.05.2023 19:35:00.000 GMT+0200,205.127,205.127,204.586,204.717,27.17
01.05.2023 19:40:00.000 GMT+0200,204.827,205.036,204.597,204.967,30.949999999999996
01.05.2023 19:45:00.000 GMT+0200,204.967,205.267,204.886,205.207,27.759999999999998
01.05.2023 19:50:00.000 GMT+0200,205.207,205.337,205.136,205.186,23.96
01.05.2023 19:55:00.000 GMT+0200,205.246,205.487,205.186,205.296,27.81
01.05.2023 20:00:00.000 GMT+0200,205.297,205.627,205.297,205.476,26.669999999999998
01.05.2023 20:05:00.000 GMT+0200,205.476,205.506,205.296,205.386,20.64
01.05.2023 20:10:00.000 GMT+0200,205.405,205.426,205.196,205.197,19.18
01.05.2023 20:15:00.000 GMT+0200,205.097,205.347,205.056,205.176,13.080000000000002
01.05.2023 20:20:00.000 GMT+0200,205.177,205.477,205.176,205.287,16.31
01.05.2023 20:25:00.000 GMT+0200,205.317,205.407,205.176,205.367,16.82
01.05.2023 20:30:00.000 GMT+0200,205.427,205.427,204.596,204.597,29.85
01.05.2023 20:35:00.000 GMT+0200,204.597,204.757,204.346,204.597,29.59
01.05.2023 20:40:00.000 GMT+0200,204.597,204.716,204.346,204.486,26.89
01.05.2023 20:45:00.000 GMT+0200,204.486,204.557,203.996,204.286,40.05
01.05.2023 20:50:00.000 GMT+0200,204.246,204.327,203.996,204.277,41.44
01.05.2023 20:55:00.000 GMT+0200,204.276,204.447,204.006,204.447,26.59
01.05.2023 21:00:00.000 GMT+0200,204.447,204.637,204.296,204.306,25.61
01.05.2023 21:05:00.000 GMT+0200,204.446,204.557,204.346,204.356,21.740000000000002
01.05.2023 21:10:00.000 GMT+0200,204.356,204.676,204.356,204.496,19.3
01.05.2023 21:15:00.000 GMT+0200,204.507,204.547,204.196,204.317,27.909999999999997
01.05.2023 21:20:00.000 GMT+0200,204.336,204.437,204.196,204.247,29.22
01.05.2023 21:25:00.000 GMT+0200,204.246,204.347,204.176,204.306,26.78
01.05.2023 21:30:00.000 GMT+0200,204.307,204.347,203.996,204.027,37.81
01.05.2023 21:35:00.000 GMT+0200,204.086,204.117,203.736,203.766,46.53
01.05.2023 21:40:00.000 GMT+0200,203.767,203.967,203.726,203.816,53.33
01.05.2023 21:45:00.000 GMT+0200,203.817,203.976,203.806,203.857,26.83
01.05.2023 21:50:00.000 GMT+0200,203.856,203.927,203.517,203.667,44.730000000000004
01.05.2023 21:55:00.000 GMT+0200,203.797,203.997,203.666,203.736,55.03
02.05.2023 15:30:00.000 GMT+0200,202.856,203.707,202.596,202.947,22.580000000000002
02.05.2023 15:35:00.000 GMT+0200,203.167,203.257,202.196,203.167,23.57
02.05.2023 15:40:00.000 GMT+0200,203.017,203.946,203.016,203.486,25.229999999999997
02.05.2023 15:45:00.000 GMT+0200,203.486,204.027,203.026,203.026,18.29
02.05.2023 15:50:00.000 GMT+0200,203.027,203.316,202.696,202.806,17.69
02.05.2023 15:55:00.000 GMT+0200,202.957,203.177,202.466,202.527,23.78
02.05.2023 16:00:00.000 GMT+0200,202.526,203.256,202.526,202.657,22.409999999999997
02.05.2023 16:05:00.000 GMT+0200,202.656,202.667,202.196,202.347,24.46
02.05.2023 16:10:00.000 GMT+0200,202.477,202.477,201.596,201.606,37.730000000000004
02.05.2023 16:15:00.000 GMT+0200,201.607,202.127,201.606,201.797,22.95
02.05.2023 16:20:00.000 GMT+0200,201.796,201.926,201.166,201.297,24.49
