Local time,Open,High,Low,Close,Volume
16.10.2023 18:00:00.000 GMT+0200,11.936,11.966,11.936,11.966,0.060000000000000005
16.10.2023 18:05:00.000 GMT+0200,11.967,12.037,11.967,12.027,0.29999999999999993
16.10.2023 18:10:00.000 GMT+0200,12.017,12.017,11.986,11.986,0.12
16.10.2023 18:15:00.000 GMT+0200,11.976,11.996,11.966,11.966,0.108
16.10.2023 18:20:00.000 GMT+0200,11.967,11.976,11.946,11.966,0.16799999999999998
16.10.2023 18:25:00.000 GMT+0200,11.956,12.007,11.956,12.007,0.084
16.10.2023 18:30:00.000 GMT+0200,12.017,12.027,12.007,12.007,0.18
16.10.2023 18:35:00.000 GMT+0200,11.996,12.007,11.986,12.007,0.10799999999999998
16.10.2023 18:40:00.000 GMT+0200,11.997,12.007,11.986,11.997,0.14400000000000002
16.10.2023 18:45:00.000 GMT+0200,12.006,12.006,11.977,11.986,0.07200000000000001
16.10.2023 18:50:00.000 GMT+0200,11.976,11.987,11.956,11.966,0.096
16.10.2023 18:55:00.000 GMT+0200,11.957,11.967,11.936,11.957,0.16799999999999998
16.10.2023 19:00:00.000 GMT+0200,11.957,11.977,11.956,11.976,0.16799999999999998
16.10.2023 19:05:00.000 GMT+0200,11.976,12.006,11.976,12.006,0.06
16.10.2023 19:10:00.000 GMT+0200,12.006,12.017,11.997,11.997,0.06
16.10.2023 19:15:00.000 GMT+0200,11.986,11.996,11.956,11.966,0.144
16.10.2023 19:20:00.000 GMT+0200,11.956,11.956,11.916,11.927,0.528
16.10.2023 19:25:00.000 GMT+0200,11.926,11.966,11.906,11.966,0.216
16.10.2023 19:30:00.000 GMT+0200,11.977,11.977,11.956,11.957,0.132
16.10.2023 19:35:00.000 GMT+0200,11.947,11.967,11.946,11.967,0.144
16.10.2023 19:40:00.000 GMT+0200,11.977,11.987,11.977,11.987,0.036000000000000004
16.10.2023 19:45:00.000 GMT+0200,11.976,11.987,11.976,11.986,0.07200000000000001
16.10.2023 19:50:00.000 GMT+0200,11.976,11.996,11.976,11.977,0.07200000000000001
16.10.2023 19:55:00.000 GMT+0200,11.986,11.986,11.976,11.976,0.024
16.10.2023 20:00:00.000 GMT+0200,11.967,11.967,11.956,11.956,0.048
16.10.2023 20:05:00.000 GMT+0200,11.957,11.966,11.946,11.966,0.09599999999999999
16.10.2023 20:10:00.000 GMT+0200,11.977,11.977,11.946,11.957,0.132
16.10.2023 20:15:00.000 GMT+0200,11.966,11.966,11.937,11.957,0.14400000000000002
16.10.2023 20:20:00.000 GMT+0200,11.947,11.947,11.916,11.926,0.156
16.10.2023 20:25:00.000 GMT+0200,11.916,11.926,11.906,11.906,0.096
16.10.2023 20:30:00.000 GMT+0200,11.896,11.927,11.896,11.916,0.216
16.10.2023 20:35:00.000 GMT+0200,11.926,11.926,11.896,11.896,0.096
16.10.2023 20:40:00.000 GMT+0200,11.897,11.907,11.896,11.896,0.06
16.10.2023 20:45:00.000 GMT+0200,11.887,11.897,11.886,11.886,0.048
16.10.2023 20:50:00.000 GMT+0200,11.896,11.907,11.896,11.896,0.096
16.10.2023 20:55:00.000 GMT+0200,11.906,11.917,11.906,11.907,0.072
16.10.2023 21:00:00.000 GMT+0200,11.917,11.936,11.917,11.936,0.096
16.10.2023 21:05:00.000 GMT+0200,11.936,11.946,11.936,11.946,0.024
16.10.2023 21:10:00.000 GMT+0200,11.936,11.946,11.926,11.926,0.096
16.10.2023 21:15:00.000 GMT+0200,11.927,11.936,11.927,11.936,0.024
16.10.2023 21:20:00.000 GMT+0200,11.937,11.956,11.937,11.947,0.07200000000000001
16.10.2023 21:25:00.000 GMT+0200,11.956,11.956,11.956,11.956,0.012
16.10.2023 21:30:00.000 GMT+0200,11.956,11.987,11.956,11.957,0.27599999999999997
16.10.2023 21:35:00.000 GMT+0200,11.966,11.967,11.956,11.957,0.048
16.10.2023 21:40:00.000 GMT+0200,11.946,11.946,11.936,11.937,0.036000000000000004
16.10.2023 21:45:00.000 GMT+0200,11.927,11.937,11.927,11.937,0.060000000000000005
16.10.2023 21:50:00.000 GMT+0200,11.936,11.956,11.936,11.956,0.07200000000000001
16.10.2023 21:55:00.000 GMT+0200,11.946,11.946,11.907,11.917,0.132
17.10.2023 15:30:00.000 GMT+0200,11.876,11.977,11.866,11.937,1.26
